gene_name,Astro,Endo,ODC,OPC
CRADD,0.7725314754459447,0.5440214734673977,0.5570985071377789,0.7782255109760783
ZFAND3,0.7452461332177267,0.3402115305985376,0.6578797957901235,0.7945012682860355
RAPGEF2,0.6935363612651246,0.4012759021471023,0.5944782274812523,0.779000716204607
HSD17B12,0.7659032494015556,0.5020931281623501,0.5197892665130148,0.7427953816858746
TNKS,0.7704397769393898,0.5023214178091631,0.49073936194429624,0.6909510187175535
KIAA1109,0.6741040416857663,0.28796605635725214,0.5322299385527604,0.6364468909866797
TMEM131,0.7661758627467967,0.5279458127686649,0.5706086187776389,0.7491389165216505
MACF1,0.7928197809314904,0.40307830191101185,0.5755890181954451,0.7786940780444459
MAP4,0.7135962228692563,0.2886078164983539,0.5510315782688636,0.7157843028326126
RCN1,0.7978514549921265,0.45939274266242225,0.6081211112835483,0.8065611913666512
ZMIZ1,0.776946663595293,0.5447505086629211,0.7341361227344199,0.7780031546263063
DLGAP4,0.7134473317329151,0.46307214328342655,0.4895206919808803,0.7383488897799448
